This file is created using RaceChrono v8.0.8 ( http://racechrono.com/ ).
Format,3
Session title,"Thunderhill East, Bypass"
Session type,Lap timing
Track name,"Thunderhill East, Bypass"
Driver name,
Created,01/09/2024,16:55
Note,

timestamp,fragment_id,lap_number,elapsed_time,distance_traveled,accuracy,altitude,bearing,device_battery_level,device_update_rate,fix_type,latitude,longitude,satellites,speed,combined_acc,device_update_rate,lateral_acc,lean_angle,longitudinal_acc,speed,accelerator_pos,air_temp,brake_pos,brake_pressure,coolant_temp,engine_oil_pressure_1,engine_oil_temp,rpm,speed,steering_angle,voltage_front,device_update_rate,x_acc,y_acc,z_acc,device_update_rate,x_rate_of_rotation,y_rate_of_rotation,z_rate_of_rotation
unix time,,,s,m,m,m,deg,%,Hz,,deg,deg,sats,m/s,G,Hz,G,deg,G,m/s,%,.C,%,kPa,.C,kPa,.C,rpm,m/s,deg,V,Hz,G,G,G,Hz,deg/s,deg/s,deg/s
,,,,,200: gps,200: gps,200: gps,200: gps,200: gps,200: gps,200: gps,200: gps,200: gps,200: gps,calc,calc,calc,calc,calc,calc,100: canbus,100: canbus,100: canbus,100: canbus,100: canbus,100: canbus,100: canbus,100: canbus,100: canbus,100: canbus,100: canbus,201: acc,201: acc,201: acc,201: acc,202: gyro,202: gyro,202: gyro,202: gyro
1725210115.28,0,1,381.961,4472.64495,0.179,89.25,179.899,97.0,24.99954,3.0,39.5402891,-122.331198,16.0,44.69063,0.14097,20.0,-0.03954,-0.91742,0.13124,44.68946,100.0,25.0,0.0,0.0,90.0,520.78648,98.0,6944.0,44.83776,-0.98621,2515.13793,24.99954,0.0894,-0.07584,1.095,24.99954,0.554,1.2405,0.3525
1725210115.307,0,1,381.988,4473.8586,0.179,89.25,179.899,97.0,24.99963,3.0,39.5402782,-122.331198,16.0,44.7345,0.14117,20.0,-0.04243,-0.93176,0.13441,44.73414,100.0,25.0,0.0,0.0,90.0,514.367,98.0,6949.85,44.89829,-0.8,2490.0,24.99963,0.09951,-0.07247,1.12336,24.99963,0.932,1.254,0.42
